english	localized	language
sl	sl	bs_Cyrl
slave	slave	bs_Cyrl
sock	sock	bs_Cyrl
socket	socket	bs_Cyrl
socketcall	socketcall	bs_Cyrl
sockets	sockets	bs_Cyrl
soft	soft	bs_Cyrl
software	Softver	bs_Cyrl
source	Izvor	bs_Cyrl
space	space	bs_Cyrl
spawn	spawn	bs_Cyrl
src	src	bs_Cyrl
srcptr	srcptr	bs_Cyrl
ss	ss	bs_Cyrl
st	st	bs_Cyrl
stack	stack	bs_Cyrl
stackbottom	stackbottom	bs_Cyrl
stacktop	stacktop	bs_Cyrl
start	start	bs_Cyrl
started	started	bs_Cyrl
starting	starting	bs_Cyrl
stat	stat	bs_Cyrl
state	state	bs_Cyrl
status	status	bs_Cyrl
stderr	stderr	bs_Cyrl
stdin	stdin	bs_Cyrl
stdout	stdout	bs_Cyrl
stop	Zaustavi	bs_Cyrl
stopped	Zaustavljeno	bs_Cyrl
str	str	bs_Cyrl
string	NIZ	bs_Cyrl
strtab	strtab	bs_Cyrl
subclass	subclass	bs_Cyrl
subnet	subnet	bs_Cyrl
support	support	bs_Cyrl
swap	swap	bs_Cyrl
switch	switch	bs_Cyrl
sym	sym	bs_Cyrl
sync	sync	bs_Cyrl
sys	sys	bs_Cyrl
syscall	syscall	bs_Cyrl
sysname	sysname	bs_Cyrl
system	Sistem	bs_Cyrl
systemcall	systemcall	bs_Cyrl
t	t	bs_Cyrl
table	table	bs_Cyrl
tag	Oznaka	bs_Cyrl
tail	tail	bs_Cyrl
tamd	tamd	bs_Cyrl
tarp	tarp	bs_Cyrl
task	task	bs_Cyrl
tasking	tasking	bs_Cyrl
tasks	Zadaci	bs_Cyrl
tcow	tcow	bs_Cyrl
tcpu	tcpu	bs_Cyrl
technology	technology	bs_Cyrl
temp	temp	bs_Cyrl
temporary	temporary	bs_Cyrl
tenth	tenth	bs_Cyrl
terminated	terminated	bs_Cyrl
test	test	bs_Cyrl
text	Tekst	bs_Cyrl
thr	thr	bs_Cyrl
thread	thread	bs_Cyrl
threads	threads	bs_Cyrl
tick	tick	bs_Cyrl
ticmp	ticmp	bs_Cyrl
time	Vrijeme	bs_Cyrl
timer	timer	bs_Cyrl
tip	tip	bs_Cyrl
tls	tls	bs_Cyrl
tmp	tmp	bs_Cyrl
tmsdos	tmsdos	bs_Cyrl
to	to	bs_Cyrl
top	navrh	bs_Cyrl
tos	tos	bs_Cyrl
total	Ukupno	bs_Cyrl
track	track	bs_Cyrl
trap	trap	bs_Cyrl
truncate	truncate	bs_Cyrl
tss	tss	bs_Cyrl
type	Tip	bs_Cyrl
t공용서술자테이블	t공용서술자테이블	bs_Cyrl
t작업관리자	t작업관리자	bs_Cyrl
t조각설명자	t조각설명자	bs_Cyrl
t콘솔	t콘솔	bs_Cyrl
t함수	t함수	bs_Cyrl
udesc	udesc	bs_Cyrl
udp	udp	bs_Cyrl
udp콘솔	udp콘솔	bs_Cyrl
uid	uid	bs_Cyrl
uint	uint	bs_Cyrl
uintptr	uintptr	bs_Cyrl
uname	uname	bs_Cyrl
unhandle	unhandle	bs_Cyrl
unhandled	unhandled	bs_Cyrl
unit	unit	bs_Cyrl
unset	Poništipostavljeno	bs_Cyrl
unused	unused	bs_Cyrl
up	Gore	bs_Cyrl
update	Ažuriraj	bs_Cyrl
usable	usable	bs_Cyrl
use	use	bs_Cyrl
used	Korišteno	bs_Cyrl
user	Korisnik	bs_Cyrl
userhandler	userhandler	bs_Cyrl
usermode	usermode	bs_Cyrl
userproc	userproc	bs_Cyrl
util	util	bs_Cyrl
util콘솔	util콘솔	bs_Cyrl
uts	uts	bs_Cyrl
utsname	utsname	bs_Cyrl
v	v	bs_Cyrl
vaddr	vaddr	bs_Cyrl
val	val	bs_Cyrl
value	Vrijednost	bs_Cyrl
values	values	bs_Cyrl
vector	vector	bs_Cyrl
vendor	vendor	bs_Cyrl
ver	ver	bs_Cyrl
version	Verzija	bs_Cyrl
vfs	vfs	bs_Cyrl
vga	vga	bs_Cyrl
video	video	bs_Cyrl
virt	virt	bs_Cyrl
virtlen	virtlen	bs_Cyrl
virtmem	virtmem	bs_Cyrl
virtual	Virtuelno	bs_Cyrl
volume	volume	bs_Cyrl
w	p	bs_Cyrl
wait	Sačekaj	bs_Cyrl
